time_s,lat,lon,alt_m,pressure_hpa,temp_c,humidity_pct,thermal_c,checksum,status,packet
620.0,35.680303,10.150243,3661.0,656.4,-8.8,13.3,28.5,8860,A,"TUN,35.6803,10.1502,3661,656.4,-8.8,13.3,28.5,8860,A"
630.0,35.680411,10.151722,3719.0,651.9,-9.2,13.0,27.9,8876,A,"TUN,35.6804,10.1517,3719,651.9,-9.2,13.0,27.9,8876,A"
640.0,35.680628,10.153257,3777.0,647.5,-9.6,12.8,28.3,8905,A,"TUN,35.6806,10.1533,3777,647.5,-9.6,12.8,28.3,8905,A"
650.0,35.680813,10.154668,3835.0,643.0,-9.9,12.5,28.1,8926,A,"TUN,35.6808,10.1547,3835,643.0,-9.9,12.5,28.1,8926,A"
660.0,35.681034,10.156116,3893.0,638.6,-10.3,12.3,28.0,8950,A,"TUN,35.6810,10.1561,3893,638.6,-10.3,12.3,28.0,8950,A"
670.0,35.681195,10.15768,3951.0,634.3,-10.7,12.1,28.4,8979,A,"TUN,35.6812,10.1577,3951,634.3,-10.7,12.1,28.4,8979,A"
680.0,35.681393,10.159099,4009.0,629.9,-11.1,11.8,27.9,8997,A,"TUN,35.6814,10.1591,4009,629.9,-11.1,11.8,27.9,8997,A"
690.0,35.68149,10.160699,4067.0,625.6,-11.4,11.6,27.5,9020,A,"TUN,35.6815,10.1607,4067,625.6,-11.4,11.6,27.5,9020,A"
700.0,35.681443,10.162464,4125.0,621.3,-11.8,11.4,27.8,9050,A,"TUN,35.6814,10.1625,4125,621.3,-11.8,11.4,27.8,9050,A"
710.0,35.681676,10.164104,4183.0,617.0,-12.2,11.2,28.2,9082,A,"TUN,35.6817,10.1641,4183,617.0,-12.2,11.2,28.2,9082,A"
720.0,35.681808,10.165575,4241.0,612.8,-12.6,10.9,28.1,9106,A,"TUN,35.6818,10.1656,4241,612.8,-12.6,10.9,28.1,9106,A"
730.0,35.681999,10.167172,4299.0,608.6,-12.9,10.7,27.5,9128,A,"TUN,35.6820,10.1672,4299,608.6,-12.9,10.7,27.5,9128,A"
740.0,35.682179,10.168813,4357.0,604.4,-13.3,10.5,27.8,9160,A,"TUN,35.6822,10.1688,4357,604.4,-13.3,10.5,27.8,9160,A"
750.0,35.682357,10.170626,4415.0,600.3,-13.7,10.3,27.8,9191,A,"TUN,35.6824,10.1706,4415,600.3,-13.7,10.3,27.8,9191,A"
760.0,35.682617,10.172342,4473.0,596.2,-14.1,10.1,27.9,9223,A,"TUN,35.6826,10.1723,4473,596.2,-14.1,10.1,27.9,9223,A"
770.0,35.682825,10.173958,4531.0,592.1,-14.5,9.9,27.6,9249,A,"TUN,35.6828,10.1740,4531,592.1,-14.5,9.9,27.6,9249,A"
780.0,35.682885,10.175762,4589.0,588.0,-14.8,9.7,27.8,9281,A,"TUN,35.6829,10.1758,4589,588.0,-14.8,9.7,27.8,9281,A"
790.0,35.683011,10.177604,4647.0,584.0,-15.2,9.6,27.8,9315,A,"TUN,35.6830,10.1776,4647,584.0,-15.2,9.6,27.8,9315,A"
800.0,35.683302,10.179384,4705.0,580.0,-15.6,9.4,28.2,9351,A,"TUN,35.6833,10.1794,4705,580.0,-15.6,9.4,28.2,9351,A"
810.0,35.683558,10.181153,4763.0,576.0,-16.0,9.2,28.2,9383,A,"TUN,35.6836,10.1812,4763,576.0,-16.0,9.2,28.2,9383,A"
820.0,35.683872,10.183235,4821.0,572.1,-16.3,9.0,28.0,9419,A,"TUN,35.6839,10.1832,4821,572.1,-16.3,9.0,28.0,9419,A"
830.0,35.684181,10.18522,4879.0,568.2,-16.7,8.8,27.9,9454,A,"TUN,35.6842,10.1852,4879,568.2,-16.7,8.8,27.9,9454,A"
840.0,35.684386,10.187261,4937.0,564.3,-17.1,8.7,28.0,9491,A,"TUN,35.6844,10.1873,4937,564.3,-17.1,8.7,28.0,9491,A"
850.0,35.684622,10.189214,4995.0,560.4,-17.5,8.5,27.8,9525,A,"TUN,35.6846,10.1892,4995,560.4,-17.5,8.5,27.8,9525,A"
860.0,35.684817,10.19115,5053.0,556.6,-17.8,8.4,27.7,9561,A,"TUN,35.6848,10.1912,5053,556.6,-17.8,8.4,27.7,9561,A"
870.0,35.68516,10.193101,5111.0,552.8,-18.2,8.2,27.7,9598,A,"TUN,35.6852,10.1931,5111,552.8,-18.2,8.2,27.7,9598,A"
880.0,35.685381,10.195017,5169.0,549.0,-18.6,8.0,27.8,9634,A,"TUN,35.6854,10.1950,5169,549.0,-18.6,8.0,27.8,9634,A"
890.0,35.685644,10.197253,5227.0,545.2,-19.0,7.9,27.7,9673,A,"TUN,35.6856,10.1973,5227,545.2,-19.0,7.9,27.7,9673,A"
900.0,35.685881,10.199339,5285.0,541.5,-19.4,7.7,28.0,9714,A,"TUN,35.6859,10.1993,5285,541.5,-19.4,7.7,28.0,9714,A"
910.0,35.686147,10.2016,5343.0,537.8,-19.7,7.6,28.2,9758,A,"TUN,35.6861,10.2016,5343,537.8,-19.7,7.6,28.2,9758,A"
920.0,35.686318,10.203716,5401.0,534.1,-20.1,7.4,27.5,9790,A,"TUN,35.6863,10.2037,5401,534.1,-20.1,7.4,27.5,9790,A"
930.0,35.68646,10.205952,5459.0,530.4,-20.5,7.3,28.0,9834,A,"TUN,35.6865,10.2060,5459,530.4,-20.5,7.3,28.0,9834,A"
940.0,35.686866,10.208139,5517.0,526.8,-20.9,7.2,27.9,9876,A,"TUN,35.6869,10.2081,5517,526.8,-20.9,7.2,27.9,9876,A"
950.0,35.686995,10.210226,5575.0,523.2,-21.2,7.0,28.1,9917,A,"TUN,35.6870,10.2102,5575,523.2,-21.2,7.0,28.1,9917,A"
960.0,35.68734,10.212659,5633.0,519.6,-21.6,6.9,28.0,9961,A,"TUN,35.6873,10.2127,5633,519.6,-21.6,6.9,28.0,9961,A"
970.0,35.687503,10.214905,5691.0,516.0,-22.0,6.8,27.6,9999,A,"TUN,35.6875,10.2149,5691,516.0,-22.0,6.8,27.6,9999,A"
980.0,35.687882,10.217051,5749.0,512.5,-22.4,6.6,27.6,40,A,"TUN,35.6879,10.2171,5749,512.5,-22.4,6.6,27.6,40,A"
990.0,35.688254,10.219434,5807.0,509.0,-22.7,6.5,28.0,91,A,"TUN,35.6883,10.2194,5807,509.0,-22.7,6.5,28.0,91,A"
1000.0,35.688597,10.221771,5865.0,505.5,-23.1,6.4,28.3,138,A,"TUN,35.6886,10.2218,5865,505.5,-23.1,6.4,28.3,138,A"
1010.0,35.688793,10.224202,5923.0,502.0,-23.5,6.2,27.3,172,A,"TUN,35.6888,10.2242,5923,502.0,-23.5,6.2,27.3,172,A"
1020.0,35.68907,10.226616,5981.0,498.6,-23.9,6.1,28.1,226,A,"TUN,35.6891,10.2266,5981,498.6,-23.9,6.1,28.1,226,A"
1030.0,35.689387,10.228784,6039.0,495.2,-24.3,6.0,28.4,272,A,"TUN,35.6894,10.2288,6039,495.2,-24.3,6.0,28.4,272,A"
1040.0,35.689848,10.231094,6097.0,491.8,-24.6,5.9,28.0,316,A,"TUN,35.6898,10.2311,6097,491.8,-24.6,5.9,28.0,316,A"
1050.0,35.690229,10.233447,6155.0,488.4,-25.0,5.8,28.2,365,A,"TUN,35.6902,10.2334,6155,488.4,-25.0,5.8,28.2,365,A"
1060.0,35.690762,10.236019,6213.0,485.1,-25.4,5.7,27.8,412,A,"TUN,35.6908,10.2360,6213,485.1,-25.4,5.7,27.8,412,A"
1070.0,35.691193,10.238534,6271.0,481.7,-25.8,5.6,28.0,462,A,"TUN,35.6912,10.2385,6271,481.7,-25.8,5.6,28.0,462,A"
1080.0,35.691465,10.241063,6329.0,478.4,-26.1,5.5,27.5,506,A,"TUN,35.6915,10.2411,6329,478.4,-26.1,5.5,27.5,506,A"
1090.0,35.691718,10.243738,6387.0,475.1,-26.5,5.4,27.3,554,A,"TUN,35.6917,10.2437,6387,475.1,-26.5,5.4,27.3,554,A"
1100.0,35.692192,10.246301,6445.0,471.9,-26.9,5.3,28.3,615,A,"TUN,35.6922,10.2463,6445,471.9,-26.9,5.3,28.3,615,A"
1110.0,35.692569,10.248908,6503.0,468.7,-27.3,5.1,27.7,659,A,"TUN,35.6926,10.2489,6503,468.7,-27.3,5.1,27.7,659,A"
1120.0,35.693112,10.251554,6561.0,465.4,-27.6,5.1,27.9,715,A,"TUN,35.6931,10.2516,6561,465.4,-27.6,5.1,27.9,715,A"
1130.0,35.693513,10.254254,6619.0,462.3,-28.0,5.0,27.6,765,A,"TUN,35.6935,10.2543,6619,462.3,-28.0,5.0,27.6,765,A"
1140.0,35.693755,10.257349,6677.0,459.1,-28.4,4.9,27.6,819,A,"TUN,35.6938,10.2573,6677,459.1,-28.4,4.9,27.6,819,A"
1150.0,35.694209,10.259959,6735.0,455.9,-28.8,4.8,27.9,874,A,"TUN,35.6942,10.2600,6735,455.9,-28.8,4.8,27.9,874,A"
1160.0,35.694689,10.262502,6793.0,452.8,-29.2,4.7,27.8,925,A,"TUN,35.6947,10.2625,6793,452.8,-29.2,4.7,27.8,925,A"
1170.0,35.695008,10.265365,6851.0,449.7,-29.5,4.6,28.1,983,A,"TUN,35.6950,10.2654,6851,449.7,-29.5,4.6,28.1,983,A"
1180.0,35.695532,10.268056,6909.0,446.6,-29.9,4.5,28.1,1037,A,"TUN,35.6955,10.2681,6909,446.6,-29.9,4.5,28.1,1037,A"
1190.0,35.695972,10.270587,6967.0,443.6,-30.3,4.4,28.1,1089,A,"TUN,35.6960,10.2706,6967,443.6,-30.3,4.4,28.1,1089,A"
1200.0,35.69649,10.273286,7025.0,440.5,-30.7,4.3,28.1,1143,A,"TUN,35.6965,10.2733,7025,440.5,-30.7,4.3,28.1,1143,A"
1210.0,35.696971,10.276049,7083.0,437.5,-31.0,4.2,28.5,1204,A,"TUN,35.6970,10.2760,7083,437.5,-31.0,4.2,28.5,1204,A"
1220.0,35.697591,10.278661,7141.0,434.5,-31.4,4.2,27.7,1252,A,"TUN,35.6976,10.2787,7141,434.5,-31.4,4.2,27.7,1252,A"
1230.0,35.698331,10.281867,7199.0,431.5,-31.8,4.1,28.0,1318,A,"TUN,35.6983,10.2819,7199,431.5,-31.8,4.1,28.0,1318,A"
1240.0,35.698598,10.284721,7257.0,428.6,-32.2,4.0,28.3,1376,A,"TUN,35.6986,10.2847,7257,428.6,-32.2,4.0,28.3,1376,A"
1250.0,35.699371,10.288102,7315.0,425.6,-32.5,3.9,28.4,1443,A,"TUN,35.6994,10.2881,7315,425.6,-32.5,3.9,28.4,1443,A"
1260.0,35.699852,10.291082,7373.0,422.7,-32.9,3.9,27.6,1494,A,"TUN,35.6999,10.2911,7373,422.7,-32.9,3.9,27.6,1494,A"
1270.0,35.700582,10.294354,7431.0,419.8,-33.3,3.8,27.9,1561,A,"TUN,35.7006,10.2944,7431,419.8,-33.3,3.8,27.9,1561,A"
1280.0,35.701027,10.297418,7489.0,416.9,-33.7,3.7,28.4,1626,A,"TUN,35.7010,10.2974,7489,416.9,-33.7,3.7,28.4,1626,A"
1290.0,35.701652,10.300573,7547.0,414.1,-34.1,3.6,28.2,1686,A,"TUN,35.7017,10.3006,7547,414.1,-34.1,3.6,28.2,1686,A"
1300.0,35.7024,10.303622,7605.0,411.3,-34.4,3.6,28.1,1751,A,"TUN,35.7024,10.3036,7605,411.3,-34.4,3.6,28.1,1751,A"
1310.0,35.703009,10.306729,7663.0,408.4,-34.8,3.5,27.9,1810,A,"TUN,35.7030,10.3067,7663,408.4,-34.8,3.5,27.9,1810,A"
1320.0,35.703681,10.309924,7721.0,405.6,-35.2,3.4,27.9,1873,A,"TUN,35.7037,10.3099,7721,405.6,-35.2,3.4,27.9,1873,A"
1330.0,35.704153,10.313241,7779.0,402.9,-35.6,3.4,28.1,1940,A,"TUN,35.7042,10.3132,7779,402.9,-35.6,3.4,28.1,1940,A"
1340.0,35.704717,10.316512,7837.0,400.1,-35.9,3.3,27.9,2003,A,"TUN,35.7047,10.3165,7837,400.1,-35.9,3.3,27.9,2003,A"
1350.0,35.705338,10.319778,7895.0,397.4,-36.3,3.2,28.0,2068,A,"TUN,35.7053,10.3198,7895,397.4,-36.3,3.2,28.0,2068,A"
1360.0,35.7059,10.322956,7953.0,394.6,-36.7,3.2,28.0,2132,A,"TUN,35.7059,10.3230,7953,394.6,-36.7,3.2,28.0,2132,A"
1370.0,35.706239,10.326315,8011.0,391.9,-37.1,3.1,27.8,2193,A,"TUN,35.7062,10.3263,8011,391.9,-37.1,3.1,27.8,2193,A"
1380.0,35.706878,10.329929,8069.0,389.2,-37.4,3.1,28.2,2267,A,"TUN,35.7069,10.3299,8069,389.2,-37.4,3.1,28.2,2267,A"
1390.0,35.707662,10.333112,8127.0,386.6,-37.8,3.0,28.9,2341,A,"TUN,35.7077,10.3331,8127,386.6,-37.8,3.0,28.9,2341,A"
1400.0,35.708329,10.336712,8185.0,383.9,-38.2,2.9,27.5,2396,A,"TUN,35.7083,10.3367,8185,383.9,-38.2,2.9,27.5,2396,A"
1410.0,35.709279,10.340114,8243.0,381.3,-38.6,2.9,28.1,2473,A,"TUN,35.7093,10.3401,8243,381.3,-38.6,2.9,28.1,2473,A"
1420.0,35.709929,10.343732,8301.0,378.7,-39.0,2.8,27.8,2540,A,"TUN,35.7099,10.3437,8301,378.7,-39.0,2.8,27.8,2540,A"
1430.0,35.710653,10.346982,8359.0,376.1,-39.3,2.8,28.2,2612,A,"TUN,35.7107,10.3470,8359,376.1,-39.3,2.8,28.2,2612,A"
1440.0,35.711363,10.35052,8417.0,373.5,-39.7,2.7,28.0,2680,A,"TUN,35.7114,10.3505,8417,373.5,-39.7,2.7,28.0,2680,A"
1450.0,35.712086,10.353979,8475.0,370.9,-40.1,2.7,28.2,2751,A,"TUN,35.7121,10.3540,8475,370.9,-40.1,2.7,28.2,2751,A"
1460.0,35.712782,10.357482,8533.0,368.4,-40.5,2.6,28.4,2823,A,"TUN,35.7128,10.3575,8533,368.4,-40.5,2.6,28.4,2823,A"
1470.0,35.713985,10.361145,8591.0,365.9,-40.8,2.6,28.1,2899,A,"TUN,35.7140,10.3611,8591,365.9,-40.8,2.6,28.1,2899,A"
1480.0,35.714699,10.364702,8649.0,363.4,-41.2,2.5,28.3,2972,A,"TUN,35.7147,10.3647,8649,363.4,-41.2,2.5,28.3,2972,A"
1490.0,35.715528,10.368353,8707.0,360.9,-41.6,2.5,27.3,3036,A,"TUN,35.7155,10.3684,8707,360.9,-41.6,2.5,27.3,3036,A"
1500.0,35.716185,10.37169,8765.0,358.4,-42.0,2.4,28.5,3115,A,"TUN,35.7162,10.3717,8765,358.4,-42.0,2.4,28.5,3115,A"
1510.0,35.717291,10.375577,8823.0,356.0,-42.3,2.4,28.1,3192,A,"TUN,35.7173,10.3756,8823,356.0,-42.3,2.4,28.1,3192,A"
1520.0,35.718171,10.379412,8881.0,353.5,-42.7,2.3,28.3,3270,A,"TUN,35.7182,10.3794,8881,353.5,-42.7,2.3,28.3,3270,A"
1530.0,35.719136,10.383059,8939.0,351.1,-43.1,2.3,27.6,3339,A,"TUN,35.7191,10.3831,8939,351.1,-43.1,2.3,27.6,3339,A"
1540.0,35.719731,10.386798,8997.0,348.7,-43.5,2.2,27.8,3413,A,"TUN,35.7197,10.3868,8997,348.7,-43.5,2.2,27.8,3413,A"
1550.0,35.720266,10.390718,9055.0,346.3,-43.9,2.2,28.0,3490,A,"TUN,35.7203,10.3907,9055,346.3,-43.9,2.2,28.0,3490,A"
1560.0,35.721016,10.394686,9113.0,343.9,-44.2,2.2,28.0,3568,A,"TUN,35.7210,10.3947,9113,343.9,-44.2,2.2,28.0,3568,A"
1570.0,35.721768,10.398749,9171.0,341.6,-44.6,2.1,28.1,3647,A,"TUN,35.7218,10.3987,9171,341.6,-44.6,2.1,28.1,3647,A"
1580.0,35.722589,10.402594,9229.0,339.2,-45.0,2.1,28.3,3725,A,"TUN,35.7226,10.4026,9229,339.2,-45.0,2.1,28.3,3725,A"
1590.0,35.723425,10.406268,9287.0,336.9,-45.4,2.0,27.5,3793,A,"TUN,35.7234,10.4063,9287,336.9,-45.4,2.0,27.5,3793,A"
1600.0,35.724358,10.410074,9345.0,334.6,-45.7,2.0,28.3,3880,A,"TUN,35.7244,10.4101,9345,334.6,-45.7,2.0,28.3,3880,A"
1610.0,35.725105,10.413885,9403.0,332.3,-46.1,2.0,28.0,3954,A,"TUN,35.7251,10.4139,9403,332.3,-46.1,2.0,28.0,3954,A"
1620.0,35.72569,10.417797,9461.0,330.0,-46.5,2.0,27.9,4028,A,"TUN,35.7257,10.4178,9461,330.0,-46.5,2.0,27.9,4028,A"
1630.0,35.726278,10.421817,9519.0,327.8,-46.9,2.0,27.6,4104,A,"TUN,35.7263,10.4218,9519,327.8,-46.9,2.0,27.6,4104,A"
1640.0,35.726873,10.425173,9577.0,325.5,-47.3,2.0,28.2,4180,A,"TUN,35.7269,10.4252,9577,325.5,-47.3,2.0,28.2,4180,A"
1650.0,35.727529,10.428573,9635.0,323.3,-47.6,2.0,27.3,4245,A,"TUN,35.7275,10.4286,9635,323.3,-47.6,2.0,27.3,4245,A"
1660.0,35.728069,10.432495,9693.0,321.1,-48.0,2.0,28.2,4330,A,"TUN,35.7281,10.4325,9693,321.1,-48.0,2.0,28.2,4330,A"
1670.0,35.728781,10.43594,9751.0,318.9,-48.4,2.0,27.6,4398,A,"TUN,35.7288,10.4359,9751,318.9,-48.4,2.0,27.6,4398,A"
1680.0,35.729533,10.439495,9809.0,316.7,-48.8,2.0,28.0,4477,A,"TUN,35.7295,10.4395,9809,316.7,-48.8,2.0,28.0,4477,A"
1690.0,35.730017,10.442975,9867.0,314.5,-49.1,2.0,28.0,4550,A,"TUN,35.7300,10.4430,9867,314.5,-49.1,2.0,28.0,4550,A"
